chembl_id,smiles,pIC50
CHEMBL3219502,Clc1cc(Nc2ncnc3c2cc(c(OC)c3)B2OC(C)(C)C(C)(C)O2)ccc1,6.309804
CHEMBL489111,O=C(Nc1c(OCCC[NH+]2CCOCC2)cc2ncnc(Cc3cc(C)ccc3)c2c1)C=C,8.8198738
CHEMBL4105503,O=C(CC)N1C[C@@H](N2C(=O)N(c3cc(OC)ccc3)Cc3c2nc(Nc2cc(C)c(N4CC[NH+](C)CC4)cc2)nc3)CC1,6.3798637
CHEMBL1243345,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(CCF)C)c(OCC)c3)c1,9.0969105
CHEMBL402339,Fc1cc(COc2c(OC)cc(Nc3ncnc4[nH]nc(OCC[NH+]5CCC(O)CC5)c34)cc2)ccc1,7.8860564
CHEMBL321193,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(Nc3cc(O)ccc3)ncc2C=1,6.8239088
CHEMBL3774926,O=C1N(CCC[NH+]2CCOCC2)c2c(OC1)cc1ncnc(Nc3cc(C#C)ccc3)c1c2,6.8569851
CHEMBL1242201,O(C)c1c(O)cc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,6.3595185
CHEMBL3655341,Clc1c(F)ccc(Nc2ncnc3sc4c(c23)CCN(C(=O)/C=C/C[NH+](CCOC)CCOC)C4)c1,9
CHEMBL2347964,O=C(Nc1ccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)cc1)C,6.7471471
CHEMBL296407,O=C(N)/C(/C#N)=C/c1cc(O)c([O-])cc1,5.3979402
CHEMBL2322329,Clc1c(Oc2cc(C(F)(F)F)ccc2)ccc(Nc2ncnc3c2n(CCNC(=O)/C=C/C[NH+](C)C)cc3)c1,8.3372421
CHEMBL592707,O=C1NC(=N/N=C/c2ccc(C)cc2)SC1,5.4867826
CHEMBL1272168,O=C(C=C)N1Cc2sc3ncnc(N[C@@H](CO)c4ccccc4)c3c2CC1,5.5147047
CHEMBL116525,Brc1cc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)c(OC)c3)ccc1,6.0409584
CHEMBL3234747,FC(F)(F)c1c(CN2CC[NH+](C)CC2)ccc(NC(=O)c2cc(NC(=O)c3cnc(NC4CC4)nc3)c(C)cc2)c1,7.3565474
CHEMBL3088220,Brc1ccc(/C(=N\NC(=O)c2ccc(O)cc2)/Cn2c(C)ncc2[N+](=O)[O-])cc1,6.6777806
CHEMBL1830273,Brc1ccc(/C(=N\NC(=S)N)/C=C/c2ccccc2)cc1,4.9122186
CHEMBL3671520,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)CS(=O)(=O)C)c3)cc1,7.6197886
CHEMBL308593,Clc1cc(Nc2ncnc3[nH]c(C)c(-c4ccccc4)c23)ccc1,6.6382723
CHEMBL422758,Clc1cc(F)c(N=C2NC=Nc3c2cc(OC)c(OCC2CC[NH+](C)CC2)c3)c(F)c1,6.3467875
CHEMBL3671476,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCC2CCN(C(=O)C(F)(F)F)CC2)c3)cc1,7.3279023
CHEMBL598307,O=C(OCCCCCCCCCCCCCCCC)COc1cc([O-])c2C(=O)C=C(c3ccccc3)Oc2c1,7.318759
CHEMBL305194,Clc1c(F)ccc(Nc2ncnc3NC(=O)/C(=C\c4c(C)cc(C(=O)[O-])[nH]4)/c23)c1,7.5376019
CHEMBL2031299,Brc1cc(Nc2ncnc3c2cc(NC(=O)CCN2CCOCC2)cc3)ccc1,9.2924299
CHEMBL2426288,Clc1c(-c2c3n(nc2)C=CC=C3)nc(Nc2c(OC)ccc(NC(=O)/C=C/C[NH+](C)C)c2)nc1,4.6382723
CHEMBL1229592,Clc1c(Oc2cc(NC(=O)C=C)ccc2)nc(Nc2c(OC)cc(N3CC[NH+](C)CC3)cc2)nc1,8.6655464
CHEMBL2031309,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)CCN2CCOCC2)c(OCC)c3)c1,8.6946487
CHEMBL202162,O=C(OC)c1c(OCC[NH+](CC)CC)c2c(c3oc4C(=O)c5c(C(=O)c4c13)cccc5)cccc2,5.2924299
CHEMBL77197,O=C([O-])/C(/C#N)=C(\C)/c1cc(OC)c(O)cc1,2.9586072
CHEMBL4065288,Brc1cc(Nc2ncnc3c2cc(NC(=S)Nc2cnccc2)cc3)ccc1,7.9913998
CHEMBL3758585,O=C(Nc1ccc(Nc2ncnc3c2cc(OC)c(OCCCN2CC[NH+](C)CC2)c3)cc1)c1ccc(C)cc1,6.1611509
CHEMBL544074,O=C(C(=C)C[NH+]1CCCCC1)c1ccc(OCc2ccccc2)cc1,5.9586072
CHEMBL1928708,Brc1cc(Nc2ncnc3c2cc(NCc2ccc(O)cc2)cc3)ccc1,6.0604806
CHEMBL3325473,O=C(OC)C1=C(N)N(c2cnccc2)C2=C(C(=O)CCC2)C1C=1c2n(nnn2)-c2c(cccc2)C=1,5.9586072
CHEMBL472942,Clc1c(F)ccc(Nc2c3c([nH+]cc2)cc(OC)c(NC(=O)/C=C/CN2CCOCC2)c3)c1,4.8674202
CHEMBL3814460,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(NC(=O)NCCN2CCOCC2)cc3)c1,6.5867004
CHEMBL3355879,O=[N+]([O-])c1n(CCCOc2c(OC)cc3ncnc(Nc4cc(C#C)ccc4)c3c2)ccn1,8.9665766
CHEMBL3815161,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)NCCN2CCOCC2)cc3)c1,8.5346174
CHEMBL3221555,O=C(OCC)Nc1c(C)ccc(Nc2ncnc3c2cc(OC)c(OC)c3)c1,5.3010302
CHEMBL248220,O(Cc1ccccc1)c1c(OC)cc2ncc(C#N)c(N[C@H]3[C@H](c4ccccc4)C3)c2c1,5.7931743
CHEMBL306988,O=C([O-])CCC(=O)Nc1ccc(C(=C(C#N)C#N)C)cc1,3.3010299
CHEMBL592426,Clc1c(O)c(CN(C(=O)Nc2ccccc2)Cc2ccc(F)cc2)ccc1,5.7033348
CHEMBL299194,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(NCCCN3CC[NH+](C)CC3)ncc2C=1,5.0604806
CHEMBL31876,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)cc3)c1,6.4812231
CHEMBL113863,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(NCCCCCC(=O)[O-])ncc2C=1,6
CHEMBL185637,Clc1c(F)ccc(NC2=NC=Nn3c2ccc3)c1,6.9586072
CHEMBL4073912,Clc1cc(Nc2ncnc3c2cc(NC(=S)Nc2scc(C(F)(F)F)n2)cc3)ccc1,6.8632793
CHEMBL165630,Brc1cc(Nc2ncnc3c2cc(NCC[NH+](CCO)CCO)nc3)ccc1,9.031517
CHEMBL1812567,Clc1cc(Nc2ncnc3c2cc(NC(=O)/C=C/c2sccc2)cc3)ccc1,5.0555172
CHEMBL512391,Clc1c(OCc2ccccc2)ccc(Nc2c(C(=O)[O-])c(N)ncn2)c1,7.3872161
CHEMBL110035,O(C)c1c(OC)cc2ncc(C#N)c(Nc3cc(N(C)C)ccc3)c2c1,6.0699992
CHEMBL92937,Brc1cc(Nc2ncnc3c2cc(N)c(NC)c3)ccc1,9.1611509
CHEMBL1173105,O=C(C)N1C(c2cc(OC)cc(OC)c2)CC(c2cc(C)c(C)cc2)=N1,4.761703
CHEMBL59145,Clc1c(C(=O)/C(/C#N)=C/c2cc(O)c([O-])cc2)cccc1,5.8124795
CHEMBL3663925,O=C(C=C)N1CCC(c2c(CC)nc(C(=O)N)c(Nc3cc(C)c(N4CCC(N5CC[NH+](C)CC5)CC4)cc3)n2)CC1,8.9586077
CHEMBL1242111,Fc1c(O)cccc1-c1nn(C2CCCC2)c2ncnc(N)c12,5.7520266
CHEMBL3940089,Clc1c(F)c(Nc2ncnc3c2cc(OC2CCN(C(=O)C=C)CC2)c(OCCC)c3)ccc1F,9.1549015
CHEMBL1241490,Nc1ncnc2n(C(C)C)nc(-c3cc4c(occ4)cc3)c12,6.015923
CHEMBL3414594,O(C)c1c(-c2sc3ncnc(NCc4ncccc4)c3c2)cccc1,6.7375488
CHEMBL96780,Brc1cc(Nc2ncnc3c2cc(N)c(OC)c3)ccc1,8.4202166
CHEMBL1242666,O=Cc1c2c([nH]c1)cc(-c1nn(C(C)C)c3ncnc(N)c13)cc2,6.1951795
CHEMBL1204360,Fc1c(Nc2ncnc3c2cc(OC)c(OC)c3)cccc1,7.4921441
CHEMBL160935,S(Sc1n(C)c2c(c1C(=O)c1occc1)cccc2)c1n(C)c2c(c1C(=O)c1occc1)cccc2,5.1135092
CHEMBL14952,S(=O)(=O)(CCNCCCOc1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2cc1)C,6.9829664
CHEMBL1173262,Brc1c(Br)ccc(C2=NN(C(=S)N)C(c3ccc(C)cc3)C2)c1,5.0074463
CHEMBL203645,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)C#CCCC)nc3)c1,8.7695513
CHEMBL1683962,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#Cc3ccc(CN4CCOCC4)cc3)c(C)ncn2)c1,6.6197886
CHEMBL76587,Oc1ccc(CC(C#N)C#N)cc1,2.1870866
CHEMBL521155,O=C(Cn1c2ncnc(N)c2nc1)c1c2c([nH]c1)cccc2,4.4559321
CHEMBL461782,Brc1c(Cl)sc(S(=O)([O-])=Nc2c(N3CCOCC3)ccc(C(=O)OCC)c2)c1,4.9546771
CHEMBL1914461,Oc1ccc(-c2[nH]c3ncnc(NCc4ccccc4)c3c2)cc1,8.4814863
CHEMBL490577,O=C(NCCCCc1ccccc1)/C(/C#N)=C\c1cc(O)c([O-])cc1,7
CHEMBL1242748,Fc1c(O)cc(-c2nn([C@@H]3COCC3)c3ncnc(N)c23)cc1,5.318759
CHEMBL1242475,Nc1ncnc2n(C3CCCC3)nc(-c3cc4c([nH]nc4)cc3)c12,6.2433639
CHEMBL3233772,Clc1c(F)ccc(Nc2ncnc3sc(NC(=O)/C=C/C[NH2+]CCC[NH+](C)C)cc23)c1,5.9222689
CHEMBL141175,Clc1ccc(CSCc2c([O-])c(OC)cc(/C=C(/C#N)\C(=O)N)c2)cc1,4.8000002
CHEMBL3753444,O=C(Nc1cc(OC)c(OC)c(-c2cnc(OC)cc2)c1)Nc1ccncc1,6.3418264
CHEMBL539102,O(C)c1cc2c(Nc3ccccc3)ncnc2cc1,6.9199872
CHEMBL3899132,S(=O)(=O)(n1c2c(cc(Nc3ncnc4c3cc(NC(=O)/C=C/C[NH+](C)C)c(OCC)c4)cc2)cc1)c1ccccc1,7.7958798
CHEMBL56936,Clc1c(F)ccc(Nc2ncnc3c2cc(OCCNCC[NH+](C)C)c(OC)c3)c1,8.6989698
CHEMBL171311,OCC(Cc1ccccc1)n1c2ncnc(N)c2c(-c2ccccc2)c1,6.3565474
